# id	M200c	r200c	M500c	r500c	x	y	z
0	1535789976518656.0	2432.72216796875	1155069043015680.0	1630.108154296875	43718.8125	48813.640625	147594.953125
1	1307340129173504.0	2305.65966796875	964268006572032.0	1534.8707275390625	81856.5078125	121018.3203125	194532.6875
2	1033314370584576.0	2131.685302734375	703479337189376.0	1381.759033203125	119228.15625	67811.4921875	196039.390625
3	899670222045184.0	2035.5552978515625	631160879185920.0	1332.6409912109375	86512.828125	81893.5625	52624.5546875
4	841819696922624.0	1990.9473876953125	599063716167680.0	1309.6837158203125	134485.390625	36361.37890625	35270.6171875
5	733527398154240.0	1901.6170654296875	391693769637888.0	1136.7021484375	46909.2734375	73091.875	143122.296875
6	459285179924480.0	1626.8896484375	303051516674048.0	1043.526611328125	172315.078125	111833.109375	163072.765625
7	581220677189632.0	1759.701904296875	378314778738688.0	1123.628662109375	197691.921875	112083.5234375	198472.453125
8	398251614273536.0	1551.316162109375	295166325817344.0	1034.408447265625	48910.67578125	189379.3125	98636.609375
9	641211639529472.0	1818.2120361328125	472402010046464.0	1210.00634765625	59176.6640625	8106.17578125	100355.09375
10	635853466501120.0	1813.20458984375	452465275174912.0	1192.7452392578125	40907.8203125	98524.265625	113316.53125
11	547336941993984.0	1724.8128662109375	416677460180992.0	1160.430908203125	203614.5	109663.9921875	194446.859375
12	655181557530624.0	1831.341552734375	389311203639296.0	1134.4405517578125	164437.5	168005.5625	61120.0390625
13	553877338324992.0	1731.59033203125	393852661792768.0	1138.82275390625	204287.328125	105547.0625	191478.828125
14	437283203317760.0	1600.448486328125	328543120654336.0	1072.0074462890625	100361.828125	23873.85546875	137372.609375
15	497315974479872.0	1670.5953369140625	348269804781568.0	1093.0928955078125	94123.1171875	103107.9375	81124.4609375
16	379204239622144.0	1526.2227783203125	211619263021056.0	925.8201904296875	158961.078125	123934.7109375	165212.734375
17	416661488271360.0	1574.8843994140625	284421928255488.0	1021.7088012695312	170512.390625	175707.203125	103725.2734375
18	407155215695872.0	1562.824951171875	266184104607744.0	999.4027709960938	20199.845703125	175134.203125	14404.4169921875
19	467371865145344.0	1636.29541015625	358634097737728.0	1103.83203125	189338.09375	105315.5	166653.796875
20	431286791438336.0	1593.1234130859375	279089357258752.0	1015.302001953125	72004.984375	42914.2421875	157770.21875
21	382146090893312.0	1530.158203125	260869854330880.0	992.7139282226562	83617.4140625	142454.671875	153858.734375
22	360359567294464.0	1500.4893798828125	231164400893952.0	953.4678344726562	156436.609375	30458.3359375	89037.375
23	392225506721792.0	1543.46142578125	251625943859200.0	980.8211059570312	9424.24609375	119345.875	194517.09375
24	367364893835264.0	1510.139404296875	216945358012416.0	933.511474609375	146191.1875	59500.671875	140923.765625
25	219906721185792.0	1272.726806640625	154322604130304.0	833.3455810546875	46916.35546875	44126.9375	154302.390625
26	278377265102848.0	1376.7857666015625	184965434179584.0	885.189697265625	52858.70703125	180630.03125	100616.7265625
27	456104488206336.0	1623.113525390625	333836969836544.0	1077.7752685546875	94124.5625	31293.876953125	12286.369140625
28	471019466784768.0	1640.6192626953125	358630540967936.0	1103.8212890625	19089.8125	181914.90625	56396.2421875
29	212362409803776.0	1258.00341796875	158968869552128.0	841.6281127929688	85372.3046875	192175.515625	66465.15625
30	389327343321088.0	1539.6312255859375	259752021983232.0	991.28466796875	46616.35546875	55904.0859375	143668.609375
31	390177377746944.0	1540.83203125	268327024852992.0	1002.062744140625	156829.765625	97395.875	178941.734375
32	390393736724480.0	1541.0301513671875	278599395442688.0	1014.6825561523438	116814.9921875	64947.21484375	34663.375
33	369590794190848.0	1513.142822265625	298622365204480.0	1038.47314453125	34662.1640625	79072.5234375	146037.0
34	367825831067648.0	1510.748291015625	208741467160576.0	921.6151733398438	34440.7890625	41365.4609375	140398.4375
35	381228075188224.0	1528.944580078125	273251523624960.0	1008.1378784179688	51936.15625	51077.625	59491.34765625
36	374207984697344.0	1519.4600830078125	279888204398592.0	1016.26708984375	36381.8984375	44075.4296875	140399.96875
37	197666877210624.0	1228.2939453125	124527812018176.0	775.83642578125	141951.8125	85665.2890625	62745.625
38	128062117117952.0	1062.806396484375	92450261565440.0	702.4968872070312	95643.5625	195193.453125	136494.140625
39	334133456797696.0	1463.1719970703125	234591348588544.0	958.1798706054688	76657.7265625	144459.453125	104567.71875
40	235068089958400.0	1301.3050537109375	151707019378688.0	828.5968627929688	10153.4248046	7259.302734375	125544.6953125
41	357260815499264.0	1496.171875	182748224421888.0	881.6610107421875	33476.59375	90609.015625	85614.96875
42	198878729076736.0	1230.772216796875	146043400355840.0	818.1791381835938	110213.1328125	144195.625	201093.109375
